Name,Type,Location,Price Range(in rupee),Rating,Specialty
Sharma Caterers,Catering,Delhi,"30,000 – 40,000",4.5,Wedding
Elegant Decor,Decoration,Delhi,"20,000 – 30,000",4.7,Wedding
DJ Beats,Music,Delhi,"8,000 – 12,000",4.2,Wedding
Happy Treats,Catering,Delhi,"15,000 – 25,000",4.3,Birthday
Party Decor,Decoration,Delhi,"10,000 – 20,000",4.5,Birthday
DJ Funbox,Music,Delhi,"5,000 – 8,000",4.1,Birthday
Corporate Kitchen,Catering,Delhi,"20,000 – 30,000",4.4,Corporate
Minimal Decorators,Decoration,Delhi,"15,000 – 22,000",4.2,Corporate
Conference Beats,Music,Delhi,"7,000 – 11,000",4,Corporate
SoundX,Venue,Bangalore,"5,000 – 8,000",4.6,Corporate
PhotoClick Studio,Music,Mumbai,"10,000 – 20,000",4,Corporate
Snap Moments,Catering,Hyderabad,"20,000 – 30,000",4.6,Wedding
Light & Sound Co.,Catering,Hyderabad,"40,000 – 45,000",4,Wedding
Stage Kings,Decoration,Mumbai,"20,000 – 30,000",4.2,Corporate
Happy Lights,Catering,Hyderabad,"10,000 – 25,000",4.3,Corporate
